HIP,S,BV,FF,Delta_FF,jitter
HIP102152,0.1611,0.642,1.752049039379846,0.3420490393798461,2.782216757805719
HIP104045,0.162,0.639,1.9727344406457237,0.5627344406457238,5.680769618814563
HIP108158,0.1652,0.69,1.678296434317737,0.5882964343177368,5.812533532845442
HIP108468,0.1713,0.645,2.0358926182274604,0.6258926182274605,2.9053832945017533
HIP109110,0.3687,0.671,4.27001727187881,3.1800172718788104,38.06275623613254
HIP109821,0.1604,0.649,1.8080229064882587,0.3980229064882588,2.4466047311746255
HIP115577,0.1542,0.687,1.6072712193313512,0.5172712193313511,2.1653005549618447
HIP116906,0.1631,0.641,1.8839349053358074,0.4739349053358075,18.665110040921785
HIP11915,0.1924,0.644,2.202147479574633,0.792147479574633,9.062367629011185
HIP14501,0.161,0.65,1.7693024477295882,0.3593024477295883,3.040698593203387
HIP14614,0.1798,0.62,2.0981799363440614,0.6881799363440615,7.683840082442179
HIP15527,0.1759,0.629,2.048140951915051,0.6381409519150509,21.845658694447717
HIP1954,0.1808,0.68,1.926409375018319,0.836409375018319,3.3555311459532327
HIP29525,0.3411,0.584,4.026553997845994,2.206553997845994,13.850745680747197
HIP30476,0.1575,0.673,1.687885389533405,0.5978853895334049,3.0399934627774012
HIP30502,0.1656,0.658,1.8219840609370428,0.7319840609370427,4.426494885193592
HIP33094,0.1491,0.711,1.4470164619635522,0.6160164619635522,2.4929512919399244
HIP34511,0.1692,0.607,2.139064975655181,0.729064975655181,3.51249658005525
HIP36512,0.1726,0.637,1.9235661545930787,0.5135661545930787,4.7108994162460425
HIP41317,0.1641,0.643,1.782946343951,0.3729463439510001,4.487628578495086
HIP44713,0.1723,0.663,1.9220327869026106,0.8320327869026105,4.481495790005929
HIP44935,0.1609,0.621,1.8616010272117818,0.45160102721178186,4.435857180007071
HIP44997,0.1729,0.657,1.9295630679894114,0.8395630679894113,4.016544570766493
HIP4909,0.2977,0.643,3.680809944996372,2.2708099449963717,16.22521703984299
HIP5301,0.1675,0.66,1.8264176134651884,0.7364176134651883,19.43582291039251
HIP54102,0.2361,0.654,2.7928406833992643,1.7028406833992642,49.670695401961254
HIP54287,0.1577,0.679,1.6726225225709896,0.5826225225709896,3.4240945509909095
HIP54582,0.1595,0.606,2.044550937228576,0.6345509372285763,8.184688431181023
HIP55409,0.1666,0.653,1.8177960018338366,0.7277960018338365,1.7046006662974684
HIP64713,0.167,0.662,1.8712634123801115,0.7812634123801114,5.345992847229014
HIP73815,0.1619,0.636,1.855794419204696,0.4457944192046961,4.72966509554183
HIP74389,0.1894,0.624,2.358765101952017,0.9487651019520171,3.8528352833891915
HIP7585,0.1815,0.646,2.1609424461176783,0.7509424461176784,6.578172414799244
HIP77052,0.214,0.685,2.219586353576632,1.129586353576632,6.818846642212863
HIP77883,0.1664,0.669,1.9046627772197118,0.8146627772197117,4.043529501011512
HIP79672,0.1707,0.63,2.030098628293901,0.6200986282939012,2.4637081804988084
HIP79715,0.1643,0.65,1.9338513115571778,0.5238513115571779,5.473811596220148
HIP85042,0.1613,0.67,1.6846895564795228,0.5946895564795227,4.1368814718849
HIP89650,0.162,0.662,1.9299546116123005,0.8399546116123005,3.7712518653938623
HIP95962,0.165,0.6,2.0131891566202835,0.19318915662028346,4.3367938443782155
