,HIP,S,BV,FF,Delta_FF,d,Mass,e_Mass,Radius,e_Radius,Age,e_Age,logRHK
3,HIP102152,0.1611,0.642,1.831469091091175,0.42146909109117514,78.41,0.982,0.016,1.085,0.021,7.767,1.799,-5.0018
6,HIP104045,0.162,0.639,2.069957652797114,0.6599576527971143,53.71,1.053,0.017,1.005,0.015,2.554,1.148,-4.9937
8,HIP108158,0.1652,0.69,1.6471402266952957,0.5571402266952956,38.43,0.964,0.012,1.202,0.004,10.274,2.545,-5.0087
9,HIP108468,0.1713,0.645,2.120118156857143,0.7101181568571431,34.42,0.966,0.012,1.129,0.025,8.379,1.706,-4.9441
10,HIP109110,0.3687,0.671,4.299247590365206,3.209247590365206,36.43,1.086,0.019,1.001,0.006,0.914,0.862,-4.4245
11,HIP109821,0.1604,0.649,1.8732606400841407,0.4632606400841408,22.05,0.938,0.01,1.147,0.008,10.106,1.866,-5.0118
14,HIP115577,0.1542,0.687,1.5838938009933912,0.4938938009933911,43.33,0.973,0.01,1.246,0.024,10.33,1.739,-5.0751
15,HIP116906,0.1631,0.641,1.971817375010014,0.5618173750100142,42.21,0.983,0.01,1.124,0.026,8.085,1.48,-4.9887
18,HIP11915,0.1924,0.644,2.2961588856343305,0.8861588856343305,53.99,0.986,0.013,0.933,0.021,3.017,0.836,-4.841
19,HIP14501,0.161,0.65,1.8308014225400444,0.4208014225400445,32.03,0.911,0.007,1.202,0.0,11.882,2.564,-5.0089
20,HIP14614,0.1798,0.62,2.253808092448929,0.8438080924489293,39.95,0.957,0.013,1.001,0.008,6.874,1.237,-4.8785
21,HIP15527,0.1759,0.629,2.1759803785627,0.7659803785627,36.02,0.957,0.009,1.096,0.0,8.74,1.46,-4.9066
23,HIP1954,0.1808,0.68,1.9164381706283056,0.8264381706283055,28.35,0.948,0.012,0.917,0.014,4.772,1.157,-4.9208
29,HIP29525,0.3411,0.584,4.511543034549862,2.691543034549862,18.64,1.01,0.022,0.985,0.021,3.682,1.681,-4.3901
32,HIP30476,0.1575,0.673,1.6949350521936215,0.6049350521936214,27.87,0.957,0.009,1.202,0.003,10.146,2.238,-5.0463
33,HIP30502,0.1656,0.658,1.865986758441469,0.775986758441469,58.29,0.991,0.018,1.0,0.008,5.176,1.37,-4.9868
35,HIP33094,0.1491,0.711,1.3793677763554935,0.5483677763554935,25.83,1.024,0.013,1.514,0.0,9.532,2.724,-5.148
36,HIP34511,0.1692,0.607,2.333786756261203,0.923786756261203,43.04,1.057,0.025,0.985,0.022,1.29,1.27,-4.9237
37,HIP36512,0.1726,0.637,2.023429831414094,0.6134298314140942,36.24,0.925,0.011,0.955,0.0,7.092,1.266,-4.9303
41,HIP41317,0.1641,0.643,1.8614149131791238,0.45141491317912386,39.27,0.916,0.01,1.0,0.003,9.164,1.559,-4.9848
44,HIP44713,0.1723,0.663,1.9556764356660703,0.8656764356660702,38.25,1.024,0.01,1.202,0.002,7.671,1.662,-4.9524
45,HIP44935,0.1609,0.621,1.9972558853055555,0.5872558853055556,66.03,1.058,0.02,1.145,0.021,5.689,1.487,-4.9859
46,HIP44997,0.1729,0.657,1.9787260942480616,0.8887260942480615,48.47,1.024,0.013,0.955,0.003,2.379,0.943,-4.9446
47,HIP4909,0.2977,0.643,3.84280466287693,2.43280466287693,53.26,1.071,0.005,0.955,0.0,0.234,0.161,-4.5274
49,HIP5301,0.1675,0.66,1.8656741535831074,0.7756741535831073,51.42,0.946,0.011,0.971,0.021,6.632,1.208,-4.9767
50,HIP54102,0.2361,0.654,2.8751157537816856,1.7851157537816855,57.63,1.034,0.018,0.955,0.003,1.547,1.102,-4.692
51,HIP54287,0.1577,0.679,1.6662014717235432,0.5762014717235431,32.3,1.003,0.01,1.079,0.024,6.688,1.214,-5.0481
52,HIP54582,0.1595,0.606,2.2333071428434454,0.8233071428434455,32.44,1.003,0.009,1.247,0.023,7.931,1.593,-4.9806
53,HIP55409,0.1666,0.653,1.8737568800860684,0.7837568800860684,42.22,0.959,0.017,0.998,0.009,6.579,1.546,-4.9765
58,HIP64713,0.167,0.662,1.9065077703674955,0.8165077703674954,77.35,1.009,0.015,0.997,0.011,4.066,1.112,-4.9811
65,HIP73815,0.1619,0.636,1.954580373852356,0.544580373852356,54.6,1.017,0.012,1.182,0.026,7.645,1.573,-4.9921
66,HIP74389,0.1894,0.624,2.5214166507704943,1.1114166507704943,40.84,1.072,0.012,1.047,0.003,2.907,0.966,-4.8363
68,HIP7585,0.1815,0.646,2.2474865552494605,0.8374865552494606,25.46,1.1,0.016,1.0,0.004,0.703,0.626,-4.8922
70,HIP77052,0.214,0.685,2.1932475630814237,1.1032475630814236,14.77,1.015,0.014,0.932,0.021,1.746,1.045,-4.7885
71,HIP77883,0.1664,0.669,1.922781324080484,0.832781324080484,60.83,0.999,0.052,1.003,0.039,3.545,3.541,-4.9887
73,HIP79672,0.1707,0.63,2.154152261019708,0.744152261019708,14.13,1.033,0.012,1.046,0.008,4.222,0.881,-4.9354
74,HIP79715,0.1643,0.65,2.0010698208907494,0.5910698208907494,57.07,0.991,0.012,1.096,0.005,7.079,1.289,-4.9888
77,HIP85042,0.1613,0.67,1.6984691559598522,0.6084691559598521,19.66,0.959,0.01,1.047,0.002,8.241,1.644,-5.0204
80,HIP89650,0.162,0.662,1.9663043904734978,0.8763043904734977,73.43,1.093,0.034,1.064,0.026,2.032,1.881,-5.0107
82,HIP95962,0.165,0.6,2.214594548302704,0.394594548302704,33.38,1.01,0.012,1.097,0.006,6.619,1.43,-4.941
